ticker,date,signal,category,price,sector,ret_1d,ret_2d,ret_3d,ret_5d,ret_7d,ret_14d,ret_30d,ret_60d,ret_intraday
SCMA,2025-03-20,Stochastic Oversold + Naik,Scalp,347.82,Communication Services,-1.8449,-2.9749,-2.9749,0.9799,-3.5398,-3.5797,3.3595,-12.2537,
SCMA,2025-03-20,Candle Compression,Pre-ARA,347.82,Communication Services,-1.8449,-2.9749,-2.9749,0.9799,-3.5398,-3.5797,3.3595,-12.2537,
SCMA,2025-03-21,RSI+BB Lower Bounce,Swing,343.91,Communication Services,-1.2994,-1.2994,0.9994,-1.2994,-0.15,-0.15,5.1441,-11.3265,
SCMA,2025-03-21,Stochastic Deeply Oversold,Scalp,343.91,Communication Services,-1.2994,-1.2994,0.9994,-1.2994,-0.15,-0.15,5.1441,-11.3265,
SCMA,2025-04-08,RSI Recovery + 2 Candle Hijau,Swing,334.14,Communication Services,-0.7314,1.0128,0.4314,3.9882,1.6079,6.9635,0.4177,-11.4838,
SCMA,2025-03-27,BSJP Beli Sore Jual Pagi,Intraday,349.77,Communication Services,-4.0606,-4.6193,-2.9433,-2.9433,-1.2279,2.2029,-2.3715,-13.8076,-3.502
SCMA,2025-04-09,RSI+BB Lower Bounce,Swing,338.05,Communication Services,1.6044,1.0196,1.6044,3.4,-0.1913,7.5899,2.2029,-10.3667,
SCMA,2025-04-09,RSI-9 Pullback ke EMA5,Scalp,338.05,Communication Services,1.6044,1.0196,1.6044,3.4,-0.1913,7.5899,2.2029,-10.3667,
SCMA,2025-04-15,MACD Crossover Bullish,Swing,348.0,Communication Services,-1.2929,-2.4357,-4.7214,-1.8643,2.7071,2.1357,-3.5786,-14.4357,
SCMA,2025-04-15,RSI Recovery Diam-diam,Pre-ARA,348.0,Communication Services,-1.2929,-2.4357,-4.7214,-1.8643,2.7071,2.1357,-3.5786,-14.4357,
SCMA,2025-04-16,Volume Spike Sideways,Akumulasi,352.0,Communication Services,-1.3061,-3.6182,-1.8841,2.7402,3.3182,3.8962,-1.8841,-14.6009,
SCMA,2025-04-15,BSJP Beli Sore Jual Pagi,Intraday,350.0,Communication Services,-1.2929,-2.4357,-4.7214,-1.8643,2.7071,2.1357,-3.5786,-14.4357,-1.2929
SCMA,2025-04-22,RSI+BB Lower Bounce,Swing,334.0,Communication Services,1.0265,4.5559,5.7324,5.7324,5.7324,6.3206,-2.5029,-12.5029,
SCMA,2025-04-23,RSI Recovery Diam-diam,Pre-ARA,342.0,Communication Services,3.3384,4.5012,3.9198,4.5012,5.0826,3.9198,-3.6384,-13.5221,
SCMA,2025-04-24,Volume Spike Sideways,Akumulasi,344.0,Communication Services,0.9736,0.4118,0.9736,0.9736,0.4118,0.4118,-7.4534,-16.4421,
SCMA,2025-04-23,BSJP Beli Sore Jual Pagi,Intraday,344.0,Communication Services,3.3384,4.5012,3.9198,4.5012,5.0826,3.9198,-3.6384,-13.5221,3.3384
SCMA,2025-04-25,Volume Avg Naik Terkontrol,Akumulasi,356.0,Communication Services,-0.7056,-0.15,-0.15,0.4056,-0.7056,-0.15,-7.9278,-15.7056,
SCMA,2025-04-25,Akumulasi Tersembunyi,Pre-ARA,356.0,Communication Services,-0.7056,-0.15,-0.15,0.4056,-0.7056,-0.15,-7.9278,-15.7056,
SCMA,2025-04-25,Volume Meledak,Pre-ARA,356.0,Communication Services,-0.7056,-0.15,-0.15,0.4056,-0.7056,-0.15,-7.9278,-15.7056,
SCMA,2025-05-02,Volume Spike Sideways,Akumulasi,360.0,Communication Services,0.4056,-0.7056,-0.7056,-0.7056,0.4056,-6.2611,-11.8167,-18.4833,
SCMA,2025-04-30,BSJP Beli Sore Jual Pagi,Intraday,360.0,Communication Services,-0.15,0.4056,-0.7056,-0.15,-0.7056,-5.15,-10.15,-17.9278,-0.15
SCMA,2025-05-05,Volume Avg Naik Terkontrol,Akumulasi,360.0,Communication Services,-1.255,-1.255,-0.7025,-1.255,-1.255,-5.6749,-12.3047,-18.9345,
SCMA,2025-05-05,Akumulasi Tersembunyi,Pre-ARA,360.0,Communication Services,-1.255,-1.255,-0.7025,-1.255,-1.255,-5.6749,-12.3047,-18.9345,
SCMA,2025-05-06,Volume Meledak,Pre-ARA,362.0,Communication Services,-0.15,0.4087,-0.15,0.9673,-0.15,-4.6193,-10.7645,-18.5858,
SCMA,2025-05-09,Volume Spike Sideways,Akumulasi,360.0,Communication Services,-0.15,0.9673,-0.15,0.4087,-5.1779,-5.7366,-9.6472,-18.0271,
SCMA,2025-05-08,BSJP Beli Sore Jual Pagi,Intraday,360.0,Communication Services,-0.7056,-0.7056,0.4056,-0.7056,-1.8167,-5.7056,-10.7056,-19.5944,-0.7056
SCMA,2025-05-14,Volume Avg Naik Terkontrol,Akumulasi,358.0,Communication Services,0.9673,-0.15,-0.15,-1.2673,-4.6193,-5.1779,-11.3232,-18.5858,
SCMA,2025-05-14,Akumulasi Tersembunyi,Pre-ARA,358.0,Communication Services,0.9673,-0.15,-0.15,-1.2673,-4.6193,-5.1779,-11.3232,-18.5858,
SCMA,2025-05-20,Candle Compression,Pre-ARA,360.0,Communication Services,-1.8167,-5.7056,-5.15,-5.15,-5.15,-7.9278,-16.8167,-19.0389,
SCMA,2025-05-19,BSJP Beli Sore Jual Pagi,Intraday,358.0,Communication Services,0.4087,-1.2673,-5.1779,-5.7366,-4.6193,-7.4126,-15.7925,-19.7031,-0.15
SCMA,2025-05-21,Volume Avg Naik Terkontrol,Akumulasi,358.0,Communication Services,-4.1048,-3.5398,-4.6698,-3.5398,-4.1048,-6.9297,-15.9692,-17.0992,
SCMA,2025-05-23,RSI+BB Lower Bounce,Swing,342.0,Communication Services,-1.3196,-0.15,-0.15,-0.7348,-0.7348,-3.6588,-11.8459,-10.6763,
SCMA,2025-05-23,RSI-9 Pullback ke EMA5,Scalp,342.0,Communication Services,-1.3196,-0.15,-0.15,-0.7348,-0.7348,-3.6588,-11.8459,-10.6763,
SCMA,2025-05-23,Stochastic Deeply Oversold,Scalp,342.0,Communication Services,-1.3196,-0.15,-0.15,-0.7348,-0.7348,-3.6588,-11.8459,-10.6763,
SCMA,2025-05-26,Stochastic Oversold + Naik,Scalp,344.0,Communication Services,1.0334,1.0334,1.0334,-0.15,-1.3334,-2.5169,-11.9843,-7.8423,
SCMA,2025-05-26,Volume Spike Sideways,Akumulasi,344.0,Communication Services,1.0334,1.0334,1.0334,-0.15,-1.3334,-2.5169,-11.9843,-7.8423,
SCMA,2025-05-26,BSJP Beli Sore Jual Pagi,Intraday,338.0,Communication Services,1.0334,1.0334,1.0334,-0.15,-1.3334,-2.5169,-11.9843,-7.8423,1.0334
SCMA,2025-06-04,RSI+BB Lower Bounce,Swing,340.0,Communication Services,0.4417,-1.3334,-1.3334,-1.9251,-1.9251,-5.4754,-11.3926,-11.3926,
SCMA,2025-06-04,RSI-9 Pullback ke EMA5,Scalp,340.0,Communication Services,0.4417,-1.3334,-1.3334,-1.9251,-1.9251,-5.4754,-11.3926,-11.3926,
SCMA,2025-06-04,Stochastic Deeply Oversold,Scalp,340.0,Communication Services,0.4417,-1.3334,-1.3334,-1.9251,-1.9251,-5.4754,-11.3926,-11.3926,
SCMA,2025-06-04,BSJP Beli Sore Jual Pagi,Intraday,338.0,Communication Services,0.4417,-1.3334,-1.3334,-1.9251,-1.9251,-5.4754,-11.3926,-11.3926,-1.3334
SCMA,2025-06-10,Stochastic Oversold + Naik,Scalp,334.0,Communication Services,-0.15,-0.7488,-0.7488,-0.7488,-1.3476,-3.144,-10.9284,-10.3296,
SCMA,2025-06-13,RSI+BB Lower Bounce,Swing,332.0,Communication Services,-0.7524,-0.15,-0.7524,-2.5596,-4.3669,-8.5837,-10.391,-10.9934,
SCMA,2025-06-13,RSI-9 Pullback ke EMA5,Scalp,332.0,Communication Services,-0.7524,-0.15,-0.7524,-2.5596,-4.3669,-8.5837,-10.391,-10.9934,
SCMA,2025-06-13,BSJP Beli Sore Jual Pagi,Intraday,332.0,Communication Services,-0.7524,-0.15,-0.7524,-2.5596,-4.3669,-8.5837,-10.391,-10.9934,-0.7524
SCMA,2025-06-18,Volume Exhaustion Bottom,Akumulasi,332.0,Communication Services,-0.15,-1.9682,-3.7864,-3.1803,-2.5742,-9.847,-10.453,-11.0591,
SCMA,2025-06-18,Candle Compression,Pre-ARA,332.0,Communication Services,-0.15,-1.9682,-3.7864,-3.1803,-2.5742,-9.847,-10.453,-11.0591,
SCMA,2025-06-20,RSI+BB Lower Bounce,Swing,330.0,Communication Services,-2.0019,-2.0019,-1.3846,-0.7673,-2.0019,-6.9401,-8.792,-11.2611,
SCMA,2025-06-20,RSI-9 Pullback ke EMA5,Scalp,330.0,Communication Services,-2.0019,-2.0019,-1.3846,-0.7673,-2.0019,-6.9401,-8.792,-11.2611,
SCMA,2025-06-20,BSJP Beli Sore Jual Pagi,Intraday,324.0,Communication Services,-2.0019,-2.0019,-1.3846,-0.7673,-2.0019,-6.9401,-8.792,-11.2611,-2.6191
